G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
11,12/19/18,,Wofford,W,98,87,28,49,0.571,14,27,0.519,28,36,0.778,8,25,13,9,9,12,14,Mississippi State,31,57,0.544,13,22,0.591,12,14,0.857,5,20,12,3,1,14,25
12,12/22/18,N,Wright State,W,67,63,25,51,0.49,7,21,0.333,10,15,0.667,9,32,11,9,6,12,13,Mississippi State,23,52,0.442,11,28,0.393,6,8,0.75,5,21,13,1,2,12,16
13,12/29/18,,BYU,W,103,81,38,70,0.543,7,21,0.333,20,22,0.909,9,35,18,10,7,19,22,Mississippi State,26,60,0.433,5,20,0.25,24,29,0.828,8,29,14,10,3,19,23
14,1/8/19,@,South Carolina,L (1 OT),82,87,29,64,0.453,11,25,0.44,13,23,0.565,6,37,17,8,9,16,16,Mississippi State,33,81,0.407,8,23,0.348,13,17,0.765,13,43,15,7,5,12,16
15,1/12/19,,Ole Miss,L,77,81,30,64,0.469,6,21,0.286,11,16,0.688,11,35,11,8,4,15,17,Mississippi State,27,58,0.466,12,31,0.387,15,20,0.75,6,27,15,3,3,10,17
16,1/15/19,,Florida,W,71,68,26,49,0.531,10,17,0.588,9,11,0.818,6,27,19,7,5,13,12,Mississippi State,25,59,0.424,10,31,0.323,8,10,0.8,12,28,18,7,4,10,12
17,1/19/19,@,Vanderbilt,W,71,55,27,59,0.458,5,19,0.263,12,14,0.857,10,40,13,4,3,9,22,Mississippi State,18,49,0.367,5,19,0.263,14,26,0.538,7,30,6,3,2,14,11
18,1/22/19,@,Kentucky,L,55,76,19,61,0.311,3,20,0.15,14,18,0.778,14,34,5,8,6,15,18,Mississippi State,26,59,0.441,8,16,0.5,16,22,0.727,14,40,14,8,8,16,17
19,1/26/19,,Auburn,W,92,84,28,55,0.509,13,30,0.433,23,34,0.676,10,28,20,11,5,13,21,Mississippi State,26,49,0.531,11,21,0.524,21,23,0.913,6,25,12,7,3,19,19
20,1/29/19,@,Alabama,L,79,83,32,70,0.457,3,19,0.158,12,22,0.545,16,40,10,8,6,13,25,Mississippi State,30,61,0.492,1,15,0.067,22,36,0.611,11,37,11,7,9,11,19
