G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
19,1/21/19,,Virginia Tech,W,103,82,36,67,0.537,16,34,0.471,15,17,0.882,10,32,25,9,2,12,13,UNC,27,61,0.443,13,28,0.464,15,16,0.938,10,30,21,8,1,15,18
20,1/29/19,@,Georgia Tech,W,77,54,29,61,0.475,13,27,0.481,6,11,0.545,5,37,21,10,2,15,13,UNC,21,60,0.35,2,16,0.125,10,13,0.769,6,32,15,8,7,15,12
21,2/2/19,@,Louisville,W,79,69,29,69,0.42,6,24,0.25,15,19,0.789,16,47,16,7,3,10,15,UNC,26,62,0.419,10,29,0.345,7,9,0.778,7,31,14,4,3,11,16
22,2/5/19,,NC State,W,113,96,37,66,0.561,8,21,0.381,31,37,0.838,11,38,26,7,7,17,23,UNC,37,74,0.5,7,17,0.412,15,24,0.625,10,22,17,9,6,11,28
23,2/9/19,,Miami (FL),W (1 OT),88,85,31,66,0.47,13,26,0.5,13,17,0.765,3,29,15,9,4,10,13,UNC,32,68,0.471,14,31,0.452,7,7,1,9,35,14,6,3,15,16
24,2/11/19,,Virginia,L,61,69,23,65,0.354,9,30,0.3,6,7,0.857,15,37,17,2,3,7,14,UNC,24,45,0.533,11,20,0.55,10,18,0.556,3,26,16,5,6,8,11
25,2/16/19,@,Wake Forest,W,95,57,38,61,0.623,16,25,0.64,3,11,0.273,7,34,21,13,6,15,19,UNC,22,67,0.328,4,23,0.174,9,13,0.692,14,32,8,2,4,20,9
26,2/20/19,@,Duke,W,88,72,38,75,0.507,2,20,0.1,10,14,0.714,9,45,20,10,2,14,15,UNC,25,72,0.347,8,39,0.205,14,19,0.737,11,37,9,11,8,20,17
27,2/23/19,,Florida State,W,77,59,26,61,0.426,7,20,0.35,18,25,0.72,8,42,11,3,3,10,15,UNC,18,59,0.305,10,31,0.323,13,16,0.813,6,31,13,6,8,10,18
28,2/26/19,,Syracuse,W,93,85,25,62,0.403,9,29,0.31,34,37,0.919,16,38,19,5,2,9,18,UNC,29,60,0.483,14,31,0.452,13,23,0.565,7,23,17,5,3,10,26
29,3/2/19,@,Clemson,W,81,79,26,63,0.413,13,33,0.394,16,24,0.667,10,38,19,5,3,14,17,UNC,27,57,0.474,8,22,0.364,17,22,0.773,5,35,15,10,4,11,20
30,3/5/19,@,Boston College,W,79,66,32,76,0.421,7,22,0.318,8,13,0.615,17,53,22,5,2,10,12,UNC,24,70,0.343,12,36,0.333,6,10,0.6,6,32,11,6,7,7,14
31,3/9/19,,Duke,W,79,70,30,74,0.405,12,31,0.387,7,13,0.538,12,43,16,5,8,10,14,UNC,25,73,0.342,8,32,0.25,12,17,0.706,15,43,15,5,7,12,12
32,3/14/19,N,Louisville,W,83,70,30,65,0.462,7,20,0.35,16,21,0.762,7,37,16,5,4,9,17,UNC,27,66,0.409,11,36,0.306,5,8,0.625,5,33,18,2,2,11,20
33,3/15/19,N,Duke,L,73,74,29,73,0.397,4,27,0.148,11,15,0.733,15,38,13,5,0,8,15,UNC,31,65,0.477,5,20,0.25,7,13,0.538,9,34,15,6,6,12,16
