G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
20,1/26/19,@,Duquesne,W,80,74,27,56,0.482,3,13,0.231,23,32,0.719,13,42,14,10,4,13,20,VCU,25,57,0.439,10,27,0.37,14,25,0.56,8,26,16,6,8,17,25
21,2/2/19,,George Mason,W,79,63,26,55,0.473,11,32,0.344,16,23,0.696,3,31,21,7,6,11,18,VCU,25,58,0.431,2,19,0.105,11,19,0.579,6,35,10,8,0,14,23
22,2/6/19,@,George Washington,W,60,50,23,54,0.426,3,20,0.15,11,18,0.611,13,38,12,6,2,14,20,VCU,15,44,0.341,3,14,0.214,17,22,0.773,6,28,10,6,1,16,18
23,2/9/19,@,St. Bonaventure,W,85,55,31,61,0.508,6,22,0.273,17,23,0.739,12,47,13,9,6,16,22,VCU,17,64,0.266,1,18,0.056,20,27,0.741,14,33,5,6,3,13,19
24,2/13/19,,Richmond,W,81,60,27,47,0.574,10,22,0.455,17,23,0.739,7,28,19,9,5,15,23,VCU,20,43,0.465,6,14,0.429,14,27,0.519,7,19,12,11,1,15,20
25,2/16/19,@,Dayton,W,69,68,27,57,0.474,8,23,0.348,7,9,0.778,13,34,15,6,4,14,17,VCU,25,50,0.5,7,15,0.467,11,18,0.611,5,22,16,5,2,14,13
26,2/19/19,,Rhode Island,W,76,42,31,62,0.5,11,27,0.407,3,4,0.75,7,30,23,10,1,6,19,VCU,13,43,0.302,2,11,0.182,14,18,0.778,9,30,8,3,2,19,15
27,2/23/19,,George Washington,W,85,57,28,60,0.467,9,23,0.391,20,25,0.8,9,36,18,9,4,9,15,VCU,21,54,0.389,6,14,0.429,9,10,0.9,6,29,11,3,4,15,18
28,2/26/19,,Saint Louis,W,71,65,23,51,0.451,7,25,0.28,18,25,0.72,8,22,13,7,5,12,20,VCU,23,50,0.46,4,15,0.267,15,25,0.6,10,31,14,9,3,16,26
29,3/2/19,@,Richmond,W,69,66,27,54,0.5,5,20,0.25,10,16,0.625,9,34,13,10,3,15,17,VCU,24,50,0.48,10,20,0.5,8,19,0.421,6,27,18,11,1,15,18
30,3/5/19,@,George Mason,W,71,36,30,68,0.441,6,26,0.231,5,7,0.714,13,38,10,12,5,12,21,VCU,12,49,0.245,2,18,0.111,10,19,0.526,10,31,4,6,1,21,14
31,3/8/19,,St. Joseph's,W,75,63,27,59,0.458,11,30,0.367,10,15,0.667,7,35,21,7,1,10,12,VCU,23,59,0.39,8,25,0.32,9,10,0.9,6,30,10,6,4,10,15
32,3/15/19,N,Rhode Island,L,70,75,23,58,0.397,7,20,0.35,17,25,0.68,13,35,12,6,8,12,18,VCU,26,60,0.433,5,13,0.385,18,21,0.857,12,34,9,4,4,12,17
