G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
14,1/3/19,,Penn State,W,68,55,25,55,0.455,5,14,0.357,13,19,0.684,3,29,10,8,6,10,13,Michigan,24,57,0.421,1,14,0.071,6,9,0.667,7,37,6,6,3,17,16
15,1/6/19,,Indiana,W,74,63,29,58,0.5,4,16,0.25,12,16,0.75,7,29,9,4,3,2,16,Michigan,23,54,0.426,5,14,0.357,12,16,0.75,9,32,6,1,1,7,14
16,1/10/19,@,Illinois,W,79,69,28,62,0.452,5,19,0.263,18,22,0.818,9,34,16,4,6,12,16,Michigan,29,61,0.475,7,18,0.389,4,7,0.571,3,24,15,6,4,14,18
17,1/13/19,,Northwestern,W,80,60,31,59,0.525,11,27,0.407,7,9,0.778,8,30,14,10,4,9,13,Michigan,23,54,0.426,4,17,0.235,10,13,0.769,6,26,11,4,5,13,13
18,1/19/19,@,Wisconsin,L,54,64,22,54,0.407,5,18,0.278,5,11,0.455,8,33,11,6,7,16,17,Michigan,26,58,0.448,5,13,0.385,7,9,0.778,6,29,17,7,3,11,11
19,1/22/19,,Minnesota,W,59,57,21,62,0.339,3,22,0.136,14,22,0.636,10,30,7,9,4,6,13,Michigan,21,52,0.404,5,15,0.333,10,14,0.714,11,37,8,2,4,16,17
20,1/25/19,@,Indiana,W,69,46,25,58,0.431,10,29,0.345,9,12,0.75,3,38,10,5,4,9,18,Michigan,16,58,0.276,3,20,0.15,11,20,0.55,10,37,4,6,4,9,15
21,1/29/19,,Ohio State,W,65,49,22,54,0.407,10,27,0.37,11,12,0.917,6,27,15,11,3,8,14,Michigan,19,52,0.365,5,21,0.238,6,6,1,10,34,10,4,4,18,18
22,2/1/19,@,Iowa,L,59,74,21,65,0.323,8,33,0.242,9,12,0.75,6,35,11,5,3,8,20,Michigan,26,57,0.456,6,14,0.429,16,24,0.667,7,45,10,7,5,9,14
23,2/5/19,@,Rutgers,W,77,65,26,58,0.448,11,23,0.478,14,17,0.824,4,29,14,3,5,7,17,Michigan,24,58,0.414,5,12,0.417,12,16,0.75,9,34,12,4,4,9,18
24,2/9/19,,Wisconsin,W,61,52,25,56,0.446,4,17,0.235,7,9,0.778,5,34,11,5,5,5,9,Michigan,24,59,0.407,4,12,0.333,0,2,0,7,32,5,2,5,7,13
25,2/12/19,@,Penn State,L,69,75,25,49,0.51,7,20,0.35,12,16,0.75,4,25,10,5,3,12,19,Michigan,24,52,0.462,6,15,0.4,21,34,0.618,11,31,7,7,3,11,13
26,2/16/19,,Maryland,W,65,52,25,59,0.424,7,26,0.269,8,10,0.8,6,30,15,7,4,5,13,Michigan,20,55,0.364,6,22,0.273,6,8,0.75,10,37,11,1,2,16,12
27,2/21/19,@,Minnesota,W,69,60,25,57,0.439,13,28,0.464,6,11,0.545,4,34,20,6,7,9,13,Michigan,25,67,0.373,1,10,0.1,9,18,0.5,13,42,13,4,2,8,13
28,2/24/19,,Michigan State,L,70,77,23,58,0.397,7,26,0.269,17,20,0.85,9,28,6,3,2,8,18,Michigan,24,48,0.5,5,20,0.25,24,30,0.8,7,31,15,5,3,6,16
29,2/28/19,,Nebraska,W,82,53,30,54,0.556,12,22,0.545,10,19,0.526,7,42,19,3,4,12,10,Michigan,23,67,0.343,2,12,0.167,5,9,0.556,10,30,6,8,3,5,12
30,3/3/19,@,Maryland,W,69,62,25,57,0.439,6,20,0.3,13,15,0.867,9,28,14,4,3,3,12,Michigan,25,58,0.431,6,20,0.3,6,10,0.6,11,30,8,1,6,9,17
31,3/9/19,@,Michigan State,L,63,75,25,62,0.403,8,22,0.364,5,7,0.714,3,18,10,8,1,5,20,Michigan,23,49,0.469,6,22,0.273,23,30,0.767,10,42,12,3,8,13,12
32,3/15/19,N,Iowa,W,74,53,28,62,0.452,10,30,0.333,8,12,0.667,5,37,24,9,4,6,14,Michigan,21,59,0.356,1,16,0.063,10,18,0.556,9,35,10,4,4,11,9
33,3/16/19,N,Minnesota,W,76,49,32,62,0.516,10,26,0.385,2,2,1,7,34,21,5,6,7,8,Michigan,22,54,0.407,2,12,0.167,3,9,0.333,5,26,18,3,2,8,11
34,3/17/19,N,Michigan State,L,60,65,21,51,0.412,8,25,0.32,10,12,0.833,0,26,17,5,5,6,11,Michigan,22,55,0.4,9,23,0.391,12,16,0.75,9,33,14,2,6,9,10
