G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
13,12/29/18,@,Canisius,W,87,72,33,66,0.5,11,25,0.44,10,17,0.588,11,40,15,3,4,13,17,Buffalo,25,69,0.362,8,35,0.229,14,20,0.7,15,35,13,3,3,13,18
14,1/4/19,@,Eastern Michigan,W,74,58,27,54,0.5,7,24,0.292,13,22,0.591,11,37,15,5,2,13,20,Buffalo,21,63,0.333,7,26,0.269,9,19,0.474,18,39,8,7,2,16,18
15,1/8/19,,Toledo,W,110,80,43,83,0.518,15,30,0.5,9,13,0.692,12,45,25,13,4,7,21,Buffalo,27,67,0.403,10,29,0.345,16,23,0.696,12,39,15,3,4,17,16
16,1/12/19,,Miami (OH),W,88,64,27,65,0.415,9,30,0.3,25,35,0.714,10,34,17,7,5,4,17,Buffalo,22,51,0.431,10,25,0.4,10,15,0.667,5,32,12,2,2,15,27
17,1/15/19,@,Western Michigan,W,88,79,31,68,0.456,9,29,0.31,17,20,0.85,10,35,12,7,4,14,20,Buffalo,27,55,0.491,8,25,0.32,17,25,0.68,5,31,12,7,3,15,18
18,1/18/19,,Eastern Michigan,W,77,65,27,59,0.458,10,31,0.323,13,17,0.765,12,35,23,7,1,16,20,Buffalo,22,55,0.4,6,22,0.273,15,22,0.682,8,28,11,9,0,14,19
19,1/22/19,@,Northern Illinois,L,75,77,22,60,0.367,9,30,0.3,22,31,0.71,8,35,11,4,3,15,23,Buffalo,27,54,0.5,4,13,0.308,19,24,0.792,2,36,8,7,1,18,27
20,1/25/19,@,Kent State,W,88,79,33,62,0.532,10,26,0.385,12,22,0.545,7,35,18,9,1,12,14,Buffalo,30,69,0.435,9,23,0.391,10,15,0.667,11,39,8,7,3,14,20
21,1/29/19,,Ball State,W,83,59,32,74,0.432,7,31,0.226,12,24,0.5,15,50,17,7,3,8,19,Buffalo,21,65,0.323,2,23,0.087,15,22,0.682,14,47,4,6,3,18,22
22,2/1/19,@,Bowling Green State,L,88,92,31,64,0.484,12,31,0.387,14,19,0.737,10,38,11,5,2,18,25,Buffalo,30,59,0.508,8,19,0.421,24,36,0.667,4,27,7,6,1,9,19
23,2/9/19,,Central Michigan,W,90,76,34,62,0.548,8,24,0.333,14,22,0.636,8,32,23,11,5,15,17,Buffalo,26,60,0.433,10,28,0.357,14,21,0.667,9,32,12,10,0,21,23
24,2/12/19,@,Akron,W,76,70,24,52,0.462,7,24,0.292,21,26,0.808,9,36,6,7,1,18,15,Buffalo,29,65,0.446,8,27,0.296,4,7,0.571,8,26,13,9,3,14,20
25,2/15/19,@,Toledo,W,88,82,29,66,0.439,7,21,0.333,23,31,0.742,11,43,10,4,3,11,23,Buffalo,29,65,0.446,6,20,0.3,18,25,0.72,8,37,12,3,5,8,24
26,2/19/19,,Ohio,W,114,67,41,72,0.569,19,33,0.576,13,18,0.722,13,47,24,7,4,13,19,Buffalo,26,61,0.426,3,11,0.273,12,23,0.522,6,24,17,5,2,15,15
27,2/22/19,,Kent State,W,80,57,31,71,0.437,4,26,0.154,14,22,0.636,15,34,19,13,4,8,14,Buffalo,23,57,0.404,2,13,0.154,9,14,0.643,13,40,8,2,4,23,23
28,2/26/19,,Akron,W,77,64,27,63,0.429,8,25,0.32,15,22,0.682,13,37,20,6,6,8,12,Buffalo,23,58,0.397,8,25,0.32,10,13,0.769,8,33,14,3,4,15,18
29,3/1/19,@,Miami (OH),W,77,69,29,68,0.426,11,34,0.324,8,17,0.471,13,41,16,8,4,13,17,Buffalo,24,60,0.4,4,20,0.2,17,23,0.739,9,37,6,8,3,14,17
30,3/5/19,@,Ohio,W,82,79,25,59,0.424,15,34,0.441,17,21,0.81,9,36,17,6,2,16,15,Buffalo,33,67,0.493,3,17,0.176,10,14,0.714,10,33,20,8,3,11,15
31,3/8/19,,Bowling Green State,W,84,73,33,73,0.452,5,26,0.192,13,20,0.65,14,38,20,12,1,8,19,Buffalo,25,54,0.463,6,22,0.273,17,23,0.739,6,36,10,5,2,16,20
32,3/14/19,N,Akron,W,82,46,30,68,0.441,8,27,0.296,14,24,0.583,12,55,11,6,5,8,18,Buffalo,14,59,0.237,4,23,0.174,14,18,0.778,5,32,4,1,3,12,20
33,3/15/19,N,Central Michigan,W,85,81,31,66,0.47,6,32,0.188,17,24,0.708,17,43,15,6,6,11,18,Buffalo,32,66,0.485,10,26,0.385,7,15,0.467,6,25,12,5,2,8,20
34,3/16/19,N,Bowling Green State,W,87,73,29,62,0.468,13,33,0.394,16,21,0.762,6,32,15,6,5,9,16,Buffalo,28,71,0.394,7,26,0.269,10,15,0.667,14,41,6,4,3,13,16
