G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
12,12/15/18,@,Kansas,L,71,74,24,59,0.407,8,28,0.286,15,19,0.789,10,25,8,5,2,9,21,Villanova,23,46,0.5,5,15,0.333,23,30,0.767,8,31,9,4,2,14,19
13,12/22/18,N,UConn,W,81,58,27,47,0.574,12,23,0.522,15,24,0.625,7,35,20,9,2,19,18,Villanova,22,54,0.407,7,18,0.389,7,14,0.5,5,21,11,5,5,16,21
14,1/2/19,,DePaul,W,73,68,23,55,0.418,11,32,0.344,16,18,0.889,5,20,14,8,1,6,13,Villanova,28,53,0.528,8,20,0.4,4,6,0.667,7,34,17,3,2,18,16
15,1/5/19,@,Providence,W,65,59,23,51,0.451,7,22,0.318,12,15,0.8,6,33,8,8,2,13,25,Villanova,20,58,0.345,6,25,0.24,13,25,0.52,15,37,11,6,3,12,16
16,1/8/19,,St. John's (NY),W,76,71,24,54,0.444,12,32,0.375,16,22,0.727,9,38,14,5,2,10,10,Villanova,26,61,0.426,13,35,0.371,6,8,0.75,5,27,17,6,2,8,18
17,1/13/19,@,Creighton,W,90,78,31,58,0.534,12,27,0.444,16,19,0.842,5,31,20,8,2,9,13,Villanova,28,62,0.452,14,35,0.4,8,9,0.889,6,27,23,7,2,12,20
18,1/18/19,,Xavier,W,85,75,30,60,0.5,15,34,0.441,10,16,0.625,11,34,21,4,2,10,19,Villanova,28,64,0.438,6,18,0.333,13,20,0.65,15,33,16,5,1,7,12
19,1/22/19,@,Butler,W,80,72,26,53,0.491,12,26,0.462,16,18,0.889,9,29,12,3,3,8,12,Villanova,29,60,0.483,11,29,0.379,3,5,0.6,6,22,13,2,1,8,15
20,1/27/19,,Seton Hall,W,80,52,28,58,0.483,17,42,0.405,7,13,0.538,9,35,16,9,4,14,16,Villanova,18,52,0.346,7,23,0.304,9,14,0.643,7,28,10,8,3,17,16
21,1/30/19,@,DePaul,W,86,74,31,66,0.47,15,35,0.429,9,15,0.6,14,35,16,5,2,1,14,Villanova,27,51,0.529,7,16,0.438,13,17,0.765,4,28,15,1,4,11,17
22,2/3/19,,Georgetown,W,77,65,24,57,0.421,9,31,0.29,20,31,0.645,6,40,13,4,3,8,18,Villanova,23,68,0.338,8,26,0.308,11,18,0.611,9,35,16,5,3,6,27
23,2/6/19,,Creighton,W (1 OT),66,59,21,56,0.375,10,34,0.294,14,22,0.636,11,31,14,5,4,6,12,Villanova,24,53,0.453,5,17,0.294,6,9,0.667,6,29,8,2,2,11,21
24,2/9/19,@,Marquette,L,65,66,23,57,0.404,9,29,0.31,10,15,0.667,8,28,10,9,3,7,10,Villanova,26,51,0.51,7,18,0.389,7,10,0.7,6,30,13,4,2,12,14
25,2/13/19,,Providence,W,85,67,28,54,0.519,10,23,0.435,19,26,0.731,8,24,19,5,5,11,20,Villanova,24,57,0.421,6,21,0.286,13,16,0.813,11,30,17,6,0,14,23
26,2/17/19,N,St. John's (NY),L,65,71,18,54,0.333,11,35,0.314,18,24,0.75,10,42,14,5,1,16,23,Villanova,19,56,0.339,8,23,0.348,25,33,0.758,8,35,10,8,2,7,19
27,2/20/19,@,Georgetown,L,73,85,25,65,0.385,9,38,0.237,14,19,0.737,11,30,16,6,2,8,19,Villanova,29,57,0.509,11,28,0.393,16,20,0.8,9,37,23,6,1,12,19
28,2/24/19,@,Xavier,L,54,66,20,59,0.339,10,36,0.278,4,4,1,11,30,13,5,3,8,18,Villanova,24,47,0.511,8,22,0.364,10,18,0.556,5,33,12,3,4,9,13
29,2/27/19,,Marquette,W,67,61,20,58,0.345,9,32,0.281,18,26,0.692,12,30,14,4,3,7,15,Villanova,23,48,0.479,9,22,0.409,6,10,0.6,4,29,12,1,2,17,20
30,3/2/19,,Butler,W,75,54,26,50,0.52,9,22,0.409,14,19,0.737,5,36,15,3,4,9,8,Villanova,23,61,0.377,5,26,0.192,3,5,0.6,6,23,12,7,0,6,17
31,3/9/19,@,Seton Hall,L,75,79,23,47,0.489,13,27,0.481,16,18,0.889,7,28,11,2,4,12,21,Villanova,23,58,0.397,13,27,0.481,20,27,0.741,17,34,17,7,1,9,19
32,3/14/19,N,Providence,W,73,62,22,60,0.367,10,31,0.323,19,25,0.76,12,36,14,11,4,12,18,Villanova,20,49,0.408,5,20,0.25,17,21,0.81,5,29,11,9,3,18,18
33,3/15/19,N,Xavier,W (1 OT),71,67,25,61,0.41,9,29,0.31,12,17,0.706,10,32,14,3,1,11,12,Villanova,27,62,0.435,5,24,0.208,8,13,0.615,10,32,22,5,4,11,18
34,3/16/19,N,Seton Hall,W,74,72,22,53,0.415,11,31,0.355,19,26,0.731,9,38,17,3,5,14,18,Villanova,28,69,0.406,7,25,0.28,9,11,0.818,10,33,12,6,4,7,20
