G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
19,1/24/19,,Miami (FL),W,73,53,26,53,0.491,14,30,0.467,7,8,0.875,4,27,22,7,11,6,8,Syracuse,20,59,0.339,8,29,0.276,5,6,0.833,10,32,11,4,1,12,7
20,1/26/19,@,Virginia Tech,L,56,78,20,55,0.364,9,28,0.321,7,14,0.5,8,23,7,8,2,14,17,Syracuse,25,48,0.521,14,30,0.467,14,20,0.7,7,29,23,4,2,12,15
21,1/30/19,@,Boston College,W,77,71,29,52,0.558,11,26,0.423,8,15,0.533,7,23,11,6,1,11,19,Syracuse,21,45,0.467,9,22,0.409,20,23,0.87,6,23,13,5,0,11,19
22,2/2/19,@,Pitt,W,65,56,22,53,0.415,7,22,0.318,14,17,0.824,10,34,11,7,6,9,17,Syracuse,18,57,0.316,5,22,0.227,15,22,0.682,16,37,14,6,1,11,17
23,2/5/19,,Florida State,L,62,80,21,51,0.412,5,20,0.25,15,24,0.625,9,27,7,9,7,19,14,Syracuse,30,55,0.545,11,22,0.5,9,12,0.75,8,31,25,11,3,21,21
24,2/9/19,,Boston College,W,67,56,22,52,0.423,7,18,0.389,16,20,0.8,9,32,10,12,6,11,16,Syracuse,18,54,0.333,7,23,0.304,13,19,0.684,10,29,12,4,1,16,20
25,2/13/19,@,NC State,L,58,73,21,60,0.35,5,25,0.2,11,22,0.5,10,28,8,10,3,12,19,Syracuse,24,49,0.49,5,18,0.278,20,24,0.833,5,37,19,10,4,20,17
26,2/20/19,,Louisville,W,69,49,22,57,0.386,11,30,0.367,14,16,0.875,7,35,12,5,5,10,14,Syracuse,14,54,0.259,6,28,0.214,15,18,0.833,8,32,9,7,2,13,16
27,2/23/19,,Duke,L,65,75,24,70,0.343,5,23,0.217,12,19,0.632,17,37,12,9,5,5,16,Syracuse,26,59,0.441,9,29,0.31,14,16,0.875,11,38,16,2,6,13,16
28,2/26/19,@,UNC,L,85,93,29,60,0.483,14,31,0.452,13,23,0.565,7,23,17,5,3,10,26,Syracuse,25,62,0.403,9,29,0.31,34,37,0.919,16,38,19,5,2,9,18
29,3/2/19,@,Wake Forest,W,79,54,31,57,0.544,4,19,0.211,13,18,0.722,9,27,13,15,5,14,16,Syracuse,17,52,0.327,8,23,0.348,12,16,0.75,10,28,10,9,1,22,18
30,3/4/19,,Virginia,L,53,79,19,57,0.333,8,25,0.32,7,11,0.636,11,30,8,9,4,9,13,Syracuse,28,51,0.549,18,25,0.72,5,11,0.455,6,32,21,7,8,11,16
31,3/9/19,@,Clemson,L,55,67,18,48,0.375,6,19,0.316,13,17,0.765,6,27,8,8,4,17,21,Syracuse,19,56,0.339,5,24,0.208,24,30,0.8,13,40,13,11,5,15,14
32,3/13/19,N,Pitt,W,73,59,23,53,0.434,12,27,0.444,15,21,0.714,12,33,14,11,6,13,16,Syracuse,18,55,0.327,10,23,0.435,13,16,0.813,15,33,9,9,2,14,24
33,3/14/19,N,Duke,L,72,84,25,52,0.481,9,21,0.429,13,22,0.591,9,27,7,8,3,17,22,Syracuse,29,54,0.537,7,23,0.304,19,28,0.679,10,35,16,14,4,18,17
