G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
17,1/12/19,,Ohio State,W,72,62,25,55,0.455,4,16,0.25,18,25,0.72,9,34,15,11,6,14,15,Iowa,22,59,0.373,10,25,0.4,8,11,0.727,11,36,14,9,1,20,23
18,1/16/19,@,Penn State,W,89,82,32,64,0.5,12,28,0.429,13,18,0.722,7,34,18,9,1,11,11,Iowa,30,64,0.469,12,35,0.343,10,13,0.769,5,32,23,6,5,12,20
19,1/20/19,,Illinois,W,95,71,34,50,0.68,15,21,0.714,12,16,0.75,1,26,29,3,5,14,11,Iowa,27,69,0.391,11,32,0.344,6,9,0.667,15,25,15,9,3,11,18
20,1/24/19,,Michigan State,L,67,82,27,70,0.386,5,24,0.208,8,8,1,10,23,13,9,0,5,16,Iowa,27,51,0.529,8,19,0.421,20,21,0.952,11,41,16,3,2,16,13
21,1/27/19,@,Minnesota,L,87,92,32,59,0.542,10,18,0.556,13,21,0.619,9,31,23,7,1,13,23,Iowa,32,56,0.571,7,18,0.389,21,31,0.677,6,23,25,7,3,9,17
22,2/1/19,,Michigan,W,74,59,26,57,0.456,6,14,0.429,16,24,0.667,7,45,10,7,5,9,14,Iowa,21,65,0.323,8,33,0.242,9,12,0.75,6,35,11,5,3,8,20
23,2/7/19,@,Indiana,W,77,72,27,60,0.45,10,25,0.4,13,17,0.765,9,27,14,8,2,9,18,Iowa,26,53,0.491,7,21,0.333,13,18,0.722,8,30,17,7,3,12,15
24,2/10/19,,Northwestern,W,80,79,26,55,0.473,9,17,0.529,19,25,0.76,5,23,13,6,0,11,15,Iowa,29,56,0.518,8,23,0.348,13,18,0.722,10,34,13,5,0,14,23
25,2/16/19,@,Rutgers,W,71,69,25,54,0.463,8,21,0.381,13,18,0.722,10,29,12,6,5,15,15,Iowa,26,57,0.456,7,20,0.35,10,18,0.556,13,31,14,10,2,11,18
26,2/19/19,,Maryland,L,65,66,19,58,0.328,8,26,0.308,19,24,0.792,15,35,12,6,3,14,12,Iowa,22,53,0.415,12,28,0.429,10,12,0.833,8,31,16,7,5,13,22
27,2/22/19,,Indiana,W (1 OT),76,70,26,62,0.419,7,25,0.28,17,25,0.68,12,43,18,4,4,10,18,Iowa,26,63,0.413,6,27,0.222,12,22,0.545,12,36,10,9,8,11,21
28,2/26/19,@,Ohio State,L,70,90,26,55,0.473,6,19,0.316,12,14,0.857,4,25,10,4,1,10,18,Iowa,28,58,0.483,12,32,0.375,22,24,0.917,8,33,19,7,3,10,12
29,3/2/19,,Rutgers,L,72,86,20,56,0.357,8,29,0.276,24,36,0.667,13,36,12,3,2,13,21,Iowa,30,59,0.508,11,23,0.478,15,26,0.577,9,34,21,8,1,10,27
30,3/7/19,@,Wisconsin,L,45,65,18,59,0.305,5,22,0.227,4,6,0.667,7,29,10,9,4,15,25,Iowa,22,54,0.407,4,20,0.2,17,27,0.63,15,46,10,7,5,15,13
31,3/10/19,@,Nebraska,L (1 OT),91,93,30,69,0.435,10,26,0.385,21,32,0.656,13,41,18,5,2,13,21,Iowa,35,68,0.515,13,26,0.5,10,20,0.5,8,40,18,7,7,9,25
32,3/14/19,N,Illinois,W,83,62,31,60,0.517,12,23,0.522,9,11,0.818,9,23,25,3,2,7,9,Iowa,26,50,0.52,8,24,0.333,2,4,0.5,6,24,18,6,4,13,18
33,3/15/19,N,Michigan,L,53,74,21,59,0.356,1,16,0.063,10,18,0.556,9,35,10,4,4,11,9,Iowa,28,62,0.452,10,30,0.333,8,12,0.667,5,37,24,9,4,6,14
