G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
11,12/15/18,N,Drake,W,77,68,30,67,0.448,9,23,0.391,8,12,0.667,10,31,17,4,5,7,11,Iowa State,29,59,0.492,9,27,0.333,1,2,0.5,2,27,22,3,2,10,16
12,12/21/18,,Eastern Illinois,W,101,53,39,68,0.574,11,27,0.407,12,17,0.706,12,42,28,4,7,5,13,Iowa State,21,56,0.375,5,23,0.217,6,9,0.667,2,20,12,2,5,10,14
13,1/2/19,@,Oklahoma State,W,69,63,20,55,0.364,10,30,0.333,19,25,0.76,9,34,15,7,5,10,15,Iowa State,22,58,0.379,8,26,0.308,11,14,0.786,6,36,11,6,3,10,21
14,1/5/19,,Kansas,W,77,60,28,61,0.459,13,25,0.52,8,10,0.8,5,24,18,13,4,11,12,Iowa State,24,56,0.429,6,20,0.3,6,11,0.545,10,38,12,6,1,23,10
15,1/8/19,@,Baylor,L,70,73,28,56,0.5,7,18,0.389,7,8,0.875,4,26,14,6,2,10,17,Iowa State,24,55,0.436,8,23,0.348,17,20,0.85,8,28,12,6,3,10,14
16,1/12/19,,Kansas State,L,57,58,21,50,0.42,9,24,0.375,6,12,0.5,4,24,15,6,5,10,13,Iowa State,20,56,0.357,7,22,0.318,11,14,0.786,10,34,12,3,4,9,16
17,1/16/19,@,Texas Tech,W,68,64,25,56,0.446,5,21,0.238,13,19,0.684,4,38,13,6,6,8,16,Iowa State,26,63,0.413,6,18,0.333,6,15,0.4,9,34,6,4,5,9,15
18,1/19/19,,Oklahoma State,W,72,59,23,55,0.418,10,25,0.4,16,20,0.8,8,24,15,6,5,6,15,Iowa State,23,55,0.418,7,27,0.259,6,11,0.545,11,36,14,4,3,15,17
19,1/21/19,@,Kansas,L,76,80,27,62,0.435,12,30,0.4,10,17,0.588,12,35,12,7,3,14,18,Iowa State,33,64,0.516,6,14,0.429,8,13,0.615,10,34,10,7,3,11,17
20,1/26/19,@,Ole Miss,W,87,73,38,55,0.691,8,15,0.533,3,4,0.75,3,31,26,1,3,19,14,Iowa State,25,69,0.362,8,24,0.333,15,17,0.882,13,26,10,8,0,8,11
21,1/30/19,,West Virginia,W,93,68,30,55,0.545,4,16,0.25,29,33,0.879,5,33,14,12,4,10,18,Iowa State,26,62,0.419,8,22,0.364,8,13,0.615,8,28,19,3,1,17,24
22,2/2/19,,Texas,W,65,60,23,54,0.426,8,21,0.381,11,14,0.786,8,30,12,6,3,10,12,Iowa State,22,56,0.393,6,23,0.261,10,11,0.909,9,31,7,6,0,13,15
