G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
19,1/23/19,@,Oklahoma State,W,70,61,26,52,0.5,6,18,0.333,12,16,0.75,5,27,17,8,2,6,11,Oklahoma,22,52,0.423,12,27,0.444,5,7,0.714,3,26,15,4,4,12,14
20,1/26/19,,Vanderbilt,W,86,55,36,65,0.554,7,23,0.304,7,9,0.778,4,29,15,11,4,11,13,Oklahoma,21,57,0.368,5,21,0.238,8,12,0.667,10,34,7,7,3,21,13
21,1/28/19,,Baylor,L,47,77,15,55,0.273,4,20,0.2,13,17,0.765,8,29,11,3,3,14,14,Oklahoma,31,57,0.544,10,20,0.5,5,11,0.455,6,35,17,9,5,12,19
22,2/2/19,@,West Virginia,L,71,79,21,50,0.42,8,21,0.381,21,29,0.724,6,28,12,7,1,15,28,Oklahoma,25,59,0.424,7,22,0.318,22,33,0.667,16,42,9,9,1,12,25
23,2/4/19,,Iowa State,L,74,75,28,65,0.431,8,21,0.381,10,12,0.833,6,27,12,2,5,7,13,Oklahoma,28,63,0.444,10,30,0.333,9,13,0.692,9,37,12,7,6,11,13
24,2/9/19,,Texas Tech,L,54,66,21,58,0.362,4,14,0.286,8,12,0.667,9,32,9,7,1,12,17,Oklahoma,23,54,0.426,10,22,0.455,10,12,0.833,7,35,15,7,7,14,18
25,2/11/19,@,Baylor,L,53,59,21,54,0.389,3,16,0.188,8,15,0.533,13,32,11,8,2,10,14,Oklahoma,21,54,0.389,10,22,0.455,7,10,0.7,10,31,15,5,5,10,14
26,2/16/19,@,TCU,W,71,62,27,54,0.5,7,16,0.438,10,13,0.769,5,30,18,5,3,11,9,Oklahoma,23,65,0.354,9,32,0.281,7,8,0.875,12,31,14,9,4,13,15
27,2/23/19,,Texas,W,69,67,28,58,0.483,6,14,0.429,7,12,0.583,3,30,13,4,3,9,12,Oklahoma,25,61,0.41,10,31,0.323,7,9,0.778,6,28,11,7,7,8,16
28,2/25/19,@,Iowa State,L,61,78,24,63,0.381,6,18,0.333,7,12,0.583,9,30,7,4,1,9,16,Oklahoma,28,54,0.519,11,23,0.478,11,14,0.786,6,35,16,7,5,9,12
29,3/2/19,,West Virginia,W,92,80,29,49,0.592,10,21,0.476,24,29,0.828,2,24,16,7,3,16,18,Oklahoma,26,62,0.419,11,28,0.393,17,25,0.68,13,32,12,10,0,16,23
30,3/5/19,,Kansas,W,81,68,28,57,0.491,9,24,0.375,16,22,0.727,2,28,16,8,0,9,14,Oklahoma,27,66,0.409,7,31,0.226,7,11,0.636,10,37,8,4,1,15,18
31,3/9/19,@,Kansas State,L,53,68,22,53,0.415,5,17,0.294,4,6,0.667,8,28,9,6,0,12,13,Oklahoma,26,58,0.448,9,29,0.31,7,17,0.412,8,30,15,12,2,7,11
32,3/13/19,N,West Virginia,L,71,72,28,62,0.452,4,12,0.333,11,13,0.846,5,34,12,6,1,8,15,Oklahoma,27,71,0.38,9,30,0.3,9,13,0.692,16,46,12,5,6,9,16
