G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
11,12/21/18,N,Middle Tennessee,W,74,56,29,58,0.5,8,22,0.364,8,14,0.571,11,37,13,9,4,16,16,Ole Miss,19,56,0.339,5,14,0.357,13,19,0.684,9,27,7,8,2,17,15
12,12/29/18,,Florida Gulf Coast,W,87,57,31,60,0.517,12,25,0.48,13,18,0.722,11,34,22,11,5,10,13,Ole Miss,21,52,0.404,6,16,0.375,9,12,0.75,9,24,13,2,5,19,17
13,1/5/19,@,Vanderbilt,W,81,71,28,57,0.491,6,18,0.333,19,22,0.864,7,35,15,6,6,12,21,Ole Miss,24,60,0.4,6,20,0.3,17,29,0.586,10,31,13,7,5,8,16
14,1/9/19,,Auburn,W,82,67,24,53,0.453,7,19,0.368,27,37,0.73,8,37,13,11,2,17,15,Ole Miss,22,67,0.328,14,39,0.359,9,17,0.529,11,32,11,6,6,15,23
15,1/12/19,@,Mississippi State,W,81,77,27,58,0.466,12,31,0.387,15,20,0.75,6,27,15,3,3,10,17,Ole Miss,30,64,0.469,6,21,0.286,11,16,0.688,11,35,11,8,4,15,17
16,1/15/19,,LSU,L,69,83,26,64,0.406,8,28,0.286,9,17,0.529,8,32,14,8,3,16,23,Ole Miss,27,57,0.474,9,19,0.474,20,30,0.667,10,37,17,10,7,13,20
17,1/19/19,,Arkansas,W,84,67,31,64,0.484,7,22,0.318,15,17,0.882,11,38,19,13,3,13,18,Ole Miss,22,55,0.4,6,23,0.261,17,21,0.81,9,30,14,6,3,17,15
18,1/22/19,@,Alabama,L,53,74,20,50,0.4,6,20,0.3,7,14,0.5,7,28,6,1,4,16,20,Ole Miss,25,65,0.385,7,22,0.318,17,22,0.773,17,38,8,9,9,9,16
19,1/26/19,,Iowa State,L,73,87,25,69,0.362,8,24,0.333,15,17,0.882,13,26,10,8,0,8,11,Ole Miss,38,55,0.691,8,15,0.533,3,4,0.75,3,31,26,1,3,19,14
20,1/30/19,@,Florida,L (1 OT),86,90,29,63,0.46,6,23,0.261,22,26,0.846,13,37,10,7,1,16,23,Ole Miss,31,63,0.492,11,26,0.423,17,22,0.773,8,27,18,6,1,13,20
21,2/2/19,,Mississippi State,L,75,81,26,57,0.456,11,21,0.524,12,14,0.857,4,21,14,6,4,13,19,Ole Miss,27,58,0.466,8,17,0.471,19,28,0.679,13,36,13,9,3,15,16
22,2/6/19,,Texas A&M,W,75,71,24,58,0.414,9,26,0.346,18,19,0.947,9,31,16,14,4,12,12,Ole Miss,28,62,0.452,11,23,0.478,4,8,0.5,10,31,16,12,3,17,21
23,2/9/19,@,Georgia,W,80,64,28,63,0.444,9,25,0.36,15,19,0.789,9,32,12,10,2,10,17,Ole Miss,21,52,0.404,11,25,0.44,11,16,0.688,8,29,11,5,5,19,20
24,2/13/19,@,Auburn,W,60,55,19,51,0.373,13,33,0.394,9,13,0.692,8,31,12,8,2,13,20,Ole Miss,16,49,0.327,5,20,0.25,18,23,0.783,10,32,7,6,4,14,16
25,2/16/19,,Missouri,W,75,65,23,50,0.46,9,24,0.375,20,23,0.87,4,20,17,13,3,10,19,Ole Miss,24,51,0.471,8,17,0.471,9,12,0.75,9,33,9,4,1,25,22
26,2/19/19,@,South Carolina,L,64,79,23,62,0.371,5,23,0.217,13,19,0.684,7,33,10,3,9,11,22,Ole Miss,27,64,0.422,9,19,0.474,16,27,0.593,12,40,15,9,5,10,15
27,2/23/19,,Georgia,W,72,71,28,65,0.431,12,28,0.429,4,5,0.8,12,26,15,8,2,14,18,Ole Miss,25,48,0.521,5,16,0.313,16,22,0.727,4,27,19,7,2,19,13
28,2/27/19,,Tennessee,L,71,73,24,58,0.414,9,23,0.391,14,15,0.933,7,27,14,5,2,10,17,Ole Miss,29,56,0.518,3,13,0.231,12,16,0.75,4,30,16,7,3,9,14
29,3/2/19,@,Arkansas,L,73,74,29,54,0.537,6,22,0.273,9,11,0.818,4,25,15,6,1,14,18,Ole Miss,27,49,0.551,9,18,0.5,11,20,0.55,4,19,20,10,4,13,15
30,3/5/19,,Kentucky,L,76,80,24,59,0.407,8,25,0.32,20,22,0.909,8,33,14,4,3,9,20,Ole Miss,31,56,0.554,4,9,0.444,14,20,0.7,4,27,14,4,7,6,18
31,3/9/19,@,Missouri,W,73,68,23,51,0.451,8,22,0.364,19,21,0.905,4,22,9,4,5,7,16,Ole Miss,25,52,0.481,8,17,0.471,10,12,0.833,5,27,12,2,3,9,18
32,3/14/19,N,Alabama,L,57,62,24,63,0.381,7,26,0.269,2,4,0.5,6,29,11,5,6,9,17,Ole Miss,24,59,0.407,5,17,0.294,9,18,0.5,13,43,12,7,3,16,9
