Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
310,Texas-El Paso,29,8,21,0.276,-7.92,-1.4,3,15,8,8,0,13,1859,2001,1170,638,1592,0.401,199,621,0.32,384,580,0.662,285,1070,306,135,83,466,551,70,90.7,0.364,0.39,0.498,50.4,48,6.6,7.8,0.463,20,27.2,0.241
311,Texas-Rio Grande Valley,35,19,16,0.543,-1.25,-1.04,9,7,10,8,8,7,2475,2456,1410,836,2006,0.417,187,590,0.317,616,885,0.696,343,1154,461,327,95,449,734,71.5,98.1,0.441,0.294,0.51,45.9,55.1,13,7.7,0.463,15.6,26.3,0.307
312,Texas-San Antonio,32,17,15,0.531,1.03,0.39,11,7,11,4,5,7,2481,2407,1295,896,2068,0.433,294,855,0.344,395,536,0.737,323,1216,420,213,82,402,581,74,103.5,0.259,0.413,0.534,49.2,46.9,8.9,6.9,0.504,14.8,25.8,0.191
313,Texas Southern,34,21,13,0.618,-6.51,-7.51,14,4,10,2,10,10,2719,2645,1365,942,2095,0.45,248,771,0.322,587,881,0.666,421,1333,517,271,99,520,609,76.2,104.6,0.421,0.368,0.541,50.8,54.9,10.4,7.2,0.509,17.1,32,0.28
314,Texas State,33,24,9,0.727,2.18,-2.69,12,6,11,3,10,5,2389,2117,1330,846,1905,0.444,238,723,0.329,459,673,0.682,395,1249,481,227,82,440,647,68.3,105.2,0.353,0.38,0.537,54.3,56.9,10,7.8,0.507,16.5,33.6,0.241
315,Texas Tech NCAA,32,26,6,0.813,21.41,7.6,14,4,17,1,6,3,2339,1897,1285,837,1774,0.472,232,630,0.368,433,595,0.728,282,1092,429,232,157,396,567,67.7,107.5,0.335,0.355,0.569,51.5,51.3,10.7,15.3,0.537,16.1,28.5,0.244
316,Texas,33,17,16,0.515,15.38,11.56,8,10,12,6,2,8,2343,2217,1330,826,1904,0.434,287,837,0.343,404,572,0.706,327,1115,422,201,137,362,558,66.2,106.5,0.3,0.44,0.538,49.2,51.1,9.1,11.6,0.509,14.3,28.8,0.212
317,Toledo,32,25,7,0.781,8.89,0.69,13,5,14,2,8,4,2473,2178,1290,878,1931,0.455,316,832,0.38,401,520,0.771,322,1249,526,165,146,393,502,69.8,109.9,0.269,0.431,0.568,53,59.9,7.3,11.4,0.537,15.3,28.7,0.208
318,Towson,32,10,22,0.313,-8.09,-3.22,6,12,5,8,4,8,2170,2294,1310,810,1860,0.435,180,550,0.327,370,531,0.697,389,1183,318,154,94,390,562,64.5,102.7,0.285,0.296,0.514,53.6,39.3,7.3,9.7,0.484,15.6,34.6,0.199
319,Troy,30,12,18,0.4,-5.86,-0.75,5,13,8,8,4,10,2179,2242,1210,773,1719,0.45,236,704,0.335,397,550,0.722,277,1021,392,171,135,408,523,69.6,103.6,0.32,0.41,0.55,48.8,50.7,8.1,12.3,0.518,17.1,27,0.231
320,Tulane,31,4,27,0.129,-6.87,3.49,0,18,3,12,0,11,2082,2403,1240,733,1784,0.411,213,670,0.318,403,585,0.689,298,1130,444,147,109,467,535,72,93.3,0.328,0.376,0.505,48.6,60.6,6.6,9.1,0.471,18.5,26.2,0.226
321,Tulsa,32,18,14,0.563,4.55,3.77,8,10,14,3,3,8,2296,2271,1290,776,1732,0.448,222,652,0.34,522,751,0.695,239,1119,430,176,76,404,529,69.9,101.9,0.434,0.376,0.55,48.6,55.4,7.8,7,0.512,16.2,22.4,0.301
322,UCLA,33,17,16,0.515,7.27,6.87,9,9,13,5,3,7,2580,2567,1335,919,2012,0.457,256,721,0.355,486,768,0.633,380,1361,472,194,135,467,563,73.7,105,0.382,0.358,0.543,52.8,51.4,7.9,10.6,0.52,16.4,30.8,0.242
323,Utah State NCAA,34,28,6,0.824,12.74,0.8,15,3,14,1,9,4,2692,2271,1370,940,1983,0.474,267,752,0.355,543,727,0.747,366,1368,583,211,142,428,632,70,112.4,0.367,0.379,0.578,56.3,62,8.8,12.1,0.541,15.5,32,0.274
324,Utah Valley,34,25,9,0.735,3.52,-2.23,12,4,13,1,8,7,2640,2408,1360,906,1868,0.485,277,719,0.385,551,757,0.728,301,1227,462,195,84,467,600,70.4,110.3,0.405,0.385,0.593,53,51,8.1,6.5,0.559,17.3,27.9,0.295
325,Utah,31,17,14,0.548,6.19,5.16,11,7,10,5,6,5,2343,2311,1245,805,1735,0.464,298,806,0.37,435,616,0.706,317,1096,440,144,80,409,549,67.9,110.9,0.355,0.465,0.578,52.3,54.7,6.8,7,0.55,16.8,30.7,0.251
