Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
14,Little Rock,31,10,21,0.323,-4.64,-1.85,5,13,7,9,3,12,2301,2353,1250,817,1687,0.484,206,581,0.355,461,703,0.656,244,1060,443,169,87,503,622,72.7,101.2,0.417,0.344,0.569,49.8,54.2,7.4,8.6,0.545,19.9,24.1,0.273
15,Arkansas-Pine Bluff,32,13,19,0.406,-14.51,-8.25,10,8,8,2,4,17,2108,2269,1300,719,1685,0.427,194,574,0.338,476,702,0.678,317,1063,365,216,108,478,629,67.3,96.3,0.417,0.341,0.522,49.4,50.8,9.9,9.4,0.484,19.1,29.1,0.282
16,Arkansas State,32,13,19,0.406,-6.83,-0.97,7,11,10,4,2,13,2359,2475,1310,796,1904,0.418,237,709,0.334,530,721,0.735,403,1211,363,183,139,448,684,70.2,102.6,0.379,0.372,0.525,51.5,45.6,8,11.8,0.48,16.6,33.2,0.278
17,Arkansas,33,18,15,0.545,12.14,8.99,8,10,12,6,4,7,2499,2395,1330,874,1949,0.448,251,724,0.347,500,749,0.668,337,1111,521,266,162,439,667,71.8,104.6,0.384,0.371,0.542,46.8,59.6,11.1,14.9,0.513,16,28.5,0.257
18,Army,32,13,19,0.406,-7.35,-4.51,8,10,10,4,3,13,2268,2305,1280,837,1956,0.428,272,864,0.315,322,471,0.684,259,1125,499,198,50,376,544,71.7,98.9,0.241,0.442,0.52,48.9,59.6,8.6,4.6,0.497,14.7,21.8,0.165
19,Auburn NCAA,35,26,9,0.743,20.36,10.07,11,7,15,2,4,6,2785,2384,1410,956,2135,0.448,396,1052,0.376,477,669,0.713,419,1212,501,330,168,424,636,69.3,114,0.313,0.493,0.568,49.8,52.4,13.5,16.1,0.541,14.7,33,0.223
20,Austin Peay,33,22,11,0.667,0.63,-4.37,13,5,10,2,8,7,2712,2413,1335,973,2060,0.472,268,702,0.382,498,705,0.706,397,1215,454,252,110,392,595,71.9,113.1,0.342,0.341,0.566,51.7,46.7,10.5,9.2,0.537,14.1,33.1,0.242
21,Ball State,33,16,17,0.485,3.72,1.54,6,12,7,7,8,7,2478,2362,1340,889,1892,0.47,202,621,0.325,498,709,0.702,308,1243,426,217,119,480,580,71.7,103.1,0.375,0.328,0.556,51.5,47.9,9,8.9,0.523,17.7,27.7,0.263
22,Baylor NCAA,32,19,13,0.594,12.84,8.37,10,8,13,5,5,6,2293,2150,1285,816,1853,0.44,254,748,0.34,407,604,0.674,428,1222,443,196,152,424,599,66.6,107.1,0.326,0.404,0.536,54.5,54.3,9.2,13.9,0.509,16.5,38,0.22
23,Belmont NCAA,32,27,5,0.844,8.98,-3.19,16,2,13,1,12,3,2791,2360,1290,1015,2029,0.5,334,893,0.374,427,578,0.739,277,1238,631,218,121,371,493,74.4,116.3,0.285,0.44,0.606,52.4,62.2,9.1,9.2,0.583,13.9,25.1,0.21
24,Bethune-Cookman,31,14,17,0.452,-11.84,-9.6,9,7,11,4,3,12,2290,2245,1250,833,1899,0.439,204,635,0.321,420,689,0.61,415,1273,443,234,108,501,610,74.3,98.6,0.363,0.334,0.514,52.1,53.2,10.1,8.8,0.492,18.4,34.2,0.221
25,Binghamton,33,10,23,0.303,-13.72,-4.49,5,11,5,11,5,12,2152,2376,1320,793,1842,0.431,275,788,0.349,291,452,0.644,244,1060,324,183,152,409,474,67.3,96.9,0.245,0.428,0.523,45.6,40.9,8.2,12.6,0.505,16.6,21.4,0.158
26,Boise State,33,13,20,0.394,3.86,1.33,7,11,8,7,3,10,2364,2263,1330,845,1801,0.469,252,715,0.352,422,584,0.723,242,1016,398,200,68,379,569,66.5,106.9,0.324,0.397,0.569,49.8,47.1,9,6.5,0.539,15.4,23.7,0.234
27,Boston College,31,14,17,0.452,6.47,8.41,5,13,10,8,2,8,2196,2256,1260,768,1808,0.425,218,687,0.317,442,633,0.698,331,1137,382,159,103,378,509,68.4,101.9,0.35,0.38,0.521,48.7,49.7,7.4,9.1,0.485,15.2,28.6,0.244
28,Boston University,33,15,18,0.455,-6.42,-5.2,7,11,7,7,8,10,2385,2387,1325,922,1922,0.48,221,639,0.346,320,468,0.684,311,1091,447,199,73,425,578,68.1,105.8,0.243,0.332,0.556,51.5,48.5,8.8,6.6,0.537,16.5,28.7,0.166
29,Bowling Green State,34,22,12,0.647,4.53,1.15,12,6,14,2,5,8,2668,2496,1370,945,2134,0.443,272,762,0.357,506,755,0.67,408,1396,427,227,90,412,595,72.8,106.9,0.354,0.357,0.535,53.5,45.2,9.1,7.7,0.507,14.2,31.1,0.237
30,Bradley NCAA,34,20,14,0.588,-0.29,-1.47,9,9,10,6,5,8,2264,2209,1365,790,1822,0.434,231,632,0.366,453,654,0.693,311,1169,410,183,128,430,595,66.1,100.4,0.359,0.347,0.531,50.9,51.9,8.1,11.6,0.497,16.8,27.4,0.249
31,Brigham Young,32,19,13,0.594,6.39,3.54,11,5,13,3,5,8,2527,2436,1295,878,1877,0.468,226,684,0.33,545,750,0.727,263,1116,482,203,107,354,626,71.9,108.5,0.4,0.364,0.566,49,54.9,8.7,8.8,0.528,13.7,23.6,0.29
32,Brown,30,19,11,0.633,-0.17,-3.49,7,7,12,3,7,8,2209,2045,1210,759,1714,0.443,231,685,0.337,460,649,0.709,255,1099,385,229,114,427,565,72.7,100.5,0.379,0.4,0.546,50.3,50.7,10.4,11,0.51,17.4,24.1,0.268
33,Bryant,30,10,20,0.333,-14.88,-7.34,7,11,8,6,2,13,2088,2314,1200,709,1680,0.422,230,708,0.325,440,618,0.712,285,969,319,158,79,383,575,69.2,100.6,0.368,0.421,0.529,47.3,45,7.6,7.5,0.49,16.3,26.7,0.262
34,Bucknell,33,21,12,0.636,0.75,-2.77,13,5,12,3,7,8,2534,2418,1325,867,1928,0.45,311,885,0.351,489,653,0.749,286,1154,519,173,116,409,627,71.4,107.2,0.339,0.459,0.566,49.8,59.9,7.3,8.9,0.53,15.5,25.5,0.254
35,Buffalo NCAA,34,31,3,0.912,15.99,2.17,16,2,14,0,12,3,2888,2398,1365,1033,2232,0.463,325,968,0.336,497,719,0.691,428,1395,573,249,138,402,617,74.7,113.2,0.322,0.434,0.561,52.5,55.5,9.8,10.5,0.536,13.5,31.8,0.223
36,Butler,32,16,16,0.5,9.77,8.49,7,11,12,4,2,9,2298,2257,1290,835,1877,0.445,280,799,0.35,348,472,0.737,280,1032,418,188,61,351,570,67.2,106,0.251,0.426,0.547,48.5,50.1,8.7,5.8,0.519,14.3,25.6,0.185
37,Cal Poly,29,6,23,0.207,-13.72,-3.31,2,14,4,8,1,14,1930,2183,1185,706,1715,0.412,225,687,0.328,293,452,0.648,284,975,301,147,99,334,544,66.8,97.5,0.264,0.401,0.5,46.8,42.6,7.4,8.9,0.477,14.8,26.1,0.171
38,Cal State Bakersfield,31,16,15,0.516,-4.69,-2.08,7,9,9,4,5,9,2211,2207,1255,811,1896,0.428,212,638,0.332,377,565,0.667,446,1155,359,205,98,410,684,67.5,104.4,0.298,0.336,0.511,53.5,44.3,9.7,10.7,0.484,15.9,38.1,0.199
39,Cal State Fullerton,33,16,17,0.485,-2.77,-0.81,10,6,9,3,4,11,2379,2348,1345,850,1861,0.457,182,570,0.319,497,707,0.703,271,1187,397,195,112,437,617,70.4,100.5,0.38,0.306,0.541,50.4,46.7,8.2,8.6,0.506,16.6,24,0.267
40,Cal State Northridge,34,13,21,0.382,-6.33,-3.18,7,9,7,9,4,10,2601,2701,1375,968,2104,0.46,234,649,0.361,431,676,0.638,352,1214,512,225,154,410,641,72.1,105,0.321,0.308,0.536,47.9,52.9,9.1,11.3,0.516,14.5,27.7,0.205
41,California Baptist,30,16,14,0.533,-3.8,-4.07,7,9,8,6,8,6,2348,2185,1220,816,1813,0.45,280,779,0.359,436,557,0.783,298,1131,339,146,82,364,610,70.3,109.5,0.307,0.43,0.565,52,41.5,6.8,7,0.527,14.9,28.3,0.24
42,UC-Davis,31,11,20,0.355,-6,-1.24,7,9,7,6,3,12,2038,2128,1260,735,1673,0.439,203,619,0.328,365,515,0.709,218,928,375,196,71,412,596,67,96.5,0.308,0.37,0.531,46.5,51,9.3,7,0.5,17.7,21.5,0.218
43,UC-Irvine NCAA,35,30,5,0.857,5.85,-3,15,1,12,2,13,2,2551,2216,1420,945,2058,0.459,238,660,0.361,423,608,0.696,412,1404,463,199,148,412,648,66.3,108.4,0.295,0.321,0.544,55.1,49,8.5,11.1,0.517,14.9,34.3,0.206
44,UC-Riverside,33,10,23,0.303,-10.87,-2.94,4,12,7,7,2,14,2153,2279,1325,793,1787,0.444,279,741,0.377,288,421,0.684,281,1051,426,164,60,425,561,64.4,100.9,0.236,0.415,0.542,50.5,53.7,7.7,5.4,0.522,17.6,26.6,0.161
45,UC-Santa Barbara,32,22,10,0.688,-1.43,-5.36,10,6,12,3,7,6,2350,2114,1290,825,1818,0.454,204,594,0.343,496,693,0.716,379,1204,431,159,106,355,559,66,110.4,0.381,0.327,0.547,54.8,52.2,7.5,9.2,0.51,14.2,34.8,0.273
46,University of California,31,8,23,0.258,-3.09,5.49,3,15,7,9,1,10,2121,2387,1245,739,1735,0.426,207,592,0.35,436,603,0.723,249,899,335,227,98,352,573,68.5,99.5,0.348,0.341,0.525,44.6,45.3,10.7,9.9,0.486,14.8,23.3,0.251
47,Campbell,33,20,13,0.606,-3.75,-4.52,12,4,12,4,5,7,2495,2328,1325,867,1906,0.455,313,912,0.343,448,591,0.758,267,1051,482,218,104,337,522,68,110.7,0.31,0.478,0.57,47.8,55.6,9.7,9.9,0.537,13.4,23.8,0.235
48,Canisius,32,15,17,0.469,-8.6,-4.67,11,7,5,8,9,5,2250,2376,1295,798,1834,0.435,256,791,0.324,398,575,0.692,300,1026,466,204,108,412,626,68.5,101.4,0.314,0.431,0.534,47.3,58.4,9.2,9.7,0.505,16.4,27.1,0.217
49,Central Arkansas,33,14,19,0.424,-11.03,-4.46,8,10,8,5,5,13,2383,2498,1330,810,1903,0.426,276,784,0.352,487,667,0.73,299,1164,463,202,120,478,611,72,99.5,0.35,0.412,0.537,48.2,57.2,8.4,10.1,0.498,17.7,25.1,0.256
50,Central Connecticut State,31,11,20,0.355,-13.69,-6.38,5,13,5,7,5,12,2205,2367,1260,754,1821,0.414,201,612,0.328,496,634,0.782,332,1107,353,172,110,427,598,70.4,99.4,0.348,0.336,0.52,50.1,46.8,7.8,10.9,0.469,16.8,29.9,0.272
51,UCF,31,23,8,0.742,12.48,4.64,13,5,15,2,5,5,2236,1993,1245,765,1652,0.463,211,596,0.354,495,767,0.645,300,1139,411,178,139,367,524,67.2,107,0.464,0.361,0.554,51.5,53.7,8.5,12.4,0.527,15.4,29.3,0.3
52,Central Michigan,34,23,11,0.676,3.43,-0.24,10,8,13,4,7,5,2810,2590,1385,959,2113,0.454,294,793,0.371,598,888,0.673,412,1292,448,258,105,412,579,73.3,110.7,0.42,0.375,0.554,49.8,46.7,10.2,7.5,0.523,14,31.8,0.283
53,Charleston Southern,32,17,15,0.531,-2.28,-4.31,9,7,11,4,4,10,2439,2230,1290,871,2032,0.429,317,901,0.352,380,562,0.676,390,1200,459,252,106,414,537,71.9,105.3,0.277,0.443,0.53,50.9,52.7,10.9,10.1,0.507,15.3,31.3,0.187
54,Charlotte,29,8,21,0.276,-8.12,-0.67,5,13,5,9,3,9,1776,1992,1160,598,1441,0.415,191,615,0.311,389,524,0.742,199,892,288,138,101,418,490,65.8,93,0.364,0.427,0.525,48.3,48.2,7.2,11.1,0.481,19.8,21.9,0.27
55,Chattanooga,32,12,20,0.375,-7.49,-0.39,7,11,8,6,4,11,2268,2376,1285,833,1881,0.443,290,795,0.365,312,457,0.683,278,1096,419,139,79,409,553,69.5,101.6,0.243,0.423,0.54,48.6,50.3,6.2,6.4,0.52,16.3,24.4,0.166
56,Chicago State,32,3,29,0.094,-24.43,1.07,0,16,3,8,0,19,1970,2710,1280,718,1749,0.411,141,468,0.301,393,582,0.675,249,993,373,193,72,512,625,72,85.5,0.333,0.268,0.486,44.5,51.9,8.4,6.4,0.451,20.2,22.2,0.225
57,Cincinnati NCAA,34,28,6,0.824,14.6,5.1,14,4,16,2,7,4,2438,2115,1370,844,1953,0.432,226,646,0.35,524,744,0.704,431,1232,457,210,153,358,545,64.9,109.7,0.381,0.331,0.529,53.9,54.1,9.4,14.7,0.49,13.4,37.2,0.268
58,Citadel,30,12,18,0.4,-7.72,0.24,4,14,8,7,4,10,2553,2584,1210,899,2010,0.447,370,1076,0.344,385,523,0.736,322,1107,463,201,110,386,528,76.7,110,0.26,0.535,0.565,47.7,51.5,8.7,10.6,0.539,14.6,27,0.192
59,Clemson,33,20,13,0.606,14.85,9.61,9,9,13,4,4,6,2284,2111,1320,818,1803,0.454,215,647,0.332,433,592,0.731,298,1169,404,214,148,439,539,67.3,102.9,0.328,0.359,0.548,52.7,49.4,9.6,13.6,0.513,17.4,28,0.24
60,Cleveland State,31,10,21,0.323,-7.88,-1.43,5,13,8,9,2,12,2300,2437,1250,799,1834,0.436,303,820,0.37,399,585,0.682,303,1094,460,174,97,412,551,71.4,103.1,0.319,0.447,0.545,47.5,57.6,7.8,8.3,0.518,16.3,26.7,0.218
61,Coastal Carolina,31,15,16,0.484,-1.17,-2,9,9,9,4,5,10,2364,2265,1250,797,1772,0.45,249,680,0.366,521,724,0.72,338,1138,406,196,76,442,638,70.7,107.1,0.409,0.384,0.559,52.8,50.9,8.9,8,0.52,17.3,32.1,0.294
62,Colgate NCAA,34,24,10,0.706,1.02,-4.41,13,5,15,1,9,9,2578,2381,1375,930,1939,0.48,305,786,0.388,413,557,0.741,319,1209,531,210,120,443,532,67.9,110.5,0.287,0.405,0.585,53,57.1,9,10.2,0.558,16.7,29.6,0.213
63,College of Charleston,33,24,9,0.727,2.71,-2.6,12,6,13,2,8,5,2453,2265,1330,878,1818,0.483,227,667,0.34,470,615,0.764,260,1060,387,216,76,347,486,66.3,111.3,0.338,0.367,0.581,50.4,44.1,9.8,7.3,0.545,14.1,25.4,0.259
64,Colorado State,32,12,20,0.375,0.19,1.71,7,11,8,9,3,8,2393,2406,1285,866,1818,0.476,259,722,0.359,402,579,0.694,256,1080,472,200,74,372,522,68.9,108.1,0.318,0.397,0.572,49.8,54.5,9,6.6,0.548,15.1,24.5,0.221
65,Colorado,34,22,12,0.647,10.01,3.65,10,8,13,2,5,8,2517,2301,1365,879,1928,0.456,220,675,0.326,539,718,0.751,349,1273,452,174,102,452,586,69.4,106.3,0.372,0.35,0.555,54.8,51.4,7.3,8.4,0.513,16.6,31.2,0.28
66,Columbia,28,10,18,0.357,-5.01,-1.97,5,9,5,7,4,9,2059,2052,1160,778,1721,0.452,237,655,0.362,266,378,0.704,255,986,443,218,78,366,539,69.4,102.3,0.22,0.381,0.542,49.7,56.9,10.8,8.3,0.521,16.1,25.6,0.155
67,Connecticut,33,16,17,0.485,6.7,4.21,6,12,13,5,1,8,2436,2354,1325,874,1959,0.446,252,732,0.344,436,641,0.68,380,1167,422,200,145,427,643,69.7,105.5,0.327,0.374,0.538,50.7,48.3,8.7,11.9,0.51,15.9,32.3,0.223
68,Coppin State,33,8,25,0.242,-18.76,-6.97,7,9,3,7,4,16,2118,2507,1330,710,1827,0.389,240,841,0.285,458,689,0.665,314,1218,326,169,115,555,619,71.9,88.5,0.377,0.46,0.492,48.8,45.9,7.1,9.5,0.454,20.5,25.5,0.251
69,Cornell,31,15,16,0.484,-6,-1.9,7,7,9,4,6,11,2149,2211,1260,754,1707,0.442,243,732,0.332,398,551,0.722,191,1015,453,181,107,414,491,69.6,97.9,0.323,0.429,0.546,46.7,60.1,8.2,8.6,0.513,17.4,18.3,0.233
70,Creighton,33,19,14,0.576,12.56,8.91,9,9,11,6,4,7,2590,2423,1340,928,1925,0.482,357,908,0.393,377,549,0.687,268,1122,526,223,83,434,549,70.1,110.3,0.285,0.472,0.592,50,56.7,9.5,7.1,0.575,16.6,24.7,0.196
71,Dartmouth,30,11,19,0.367,-5.61,-2.86,2,12,8,6,2,12,2160,2116,1210,791,1748,0.453,264,719,0.367,314,435,0.722,246,1020,415,159,98,361,468,68.3,104.6,0.249,0.411,0.553,50.3,52.5,7.7,8.5,0.528,15.6,24.3,0.18
72,Davidson,34,24,10,0.706,6.63,2.2,14,4,14,1,7,5,2409,2229,1365,852,1893,0.45,312,882,0.354,393,525,0.749,264,1185,499,175,82,378,539,66.1,106.8,0.277,0.466,0.562,50.9,58.6,7.8,7.7,0.532,15,23.8,0.208
73,Dayton,33,21,12,0.636,9.91,3.16,13,5,13,4,7,3,2406,2183,1335,902,1789,0.504,205,617,0.332,397,575,0.69,261,1145,541,164,81,414,463,66.2,108.9,0.321,0.345,0.583,52,60,7.4,7,0.561,16.7,26.4,0.222
74,Delaware State,31,6,25,0.194,-26.8,-10.11,2,14,3,9,2,15,1956,2371,1240,695,1963,0.354,234,789,0.297,332,489,0.679,378,1144,333,214,65,435,589,72.6,86.9,0.249,0.402,0.446,46.7,47.9,9.5,5.9,0.414,16.5,28.1,0.169
75,Delaware,33,17,16,0.515,-7.56,-4.46,8,10,9,7,7,8,2352,2380,1360,830,1808,0.459,282,746,0.378,410,564,0.727,254,1083,425,149,78,378,523,64.7,106.9,0.312,0.413,0.567,48.8,51.2,6.8,6.5,0.537,15.4,23.8,0.227
76,Denver,30,8,22,0.267,-11.69,-2.82,3,13,6,7,1,14,2086,2319,1205,755,1723,0.438,227,622,0.365,349,460,0.759,275,1041,354,142,78,408,506,69.1,100.3,0.267,0.361,0.537,51.5,46.9,6.8,7.9,0.504,17.4,26.7,0.203
77,DePaul,30,15,15,0.5,6.82,5.05,7,11,12,6,3,8,2306,2253,1205,827,1772,0.467,203,589,0.345,449,627,0.716,340,1125,438,190,87,414,536,71,107.8,0.354,0.332,0.557,54.1,53,8.9,8.7,0.524,16.7,32.8,0.253
78,Detroit Mercy,31,11,20,0.355,-6.25,-0.29,8,10,6,6,4,14,2279,2464,1240,784,1875,0.418,294,825,0.356,417,581,0.718,336,1019,319,238,77,355,528,70.4,104.3,0.31,0.44,0.53,45.7,40.7,10.9,7,0.497,14.2,28.8,0.222
79,Drake,33,24,9,0.727,3.29,-0.23,12,6,13,2,7,5,2490,2307,1340,880,1868,0.471,273,750,0.364,457,607,0.753,271,1174,508,174,126,436,549,69.4,107.1,0.325,0.401,0.577,51.4,57.7,7.5,10,0.544,16.8,25.3,0.245
80,Drexel,32,13,19,0.406,-6.68,-2.59,7,11,9,7,3,11,2425,2475,1280,874,1900,0.46,237,669,0.354,440,584,0.753,312,1126,464,144,62,377,543,70,108.3,0.307,0.352,0.557,51.9,53.1,6.4,4.9,0.522,14.8,29,0.232
81,Duke NCAA,34,29,5,0.853,28.34,12.4,14,4,15,2,7,2,2839,2297,1365,1037,2173,0.477,247,818,0.302,518,751,0.69,455,1421,541,322,232,446,539,73.7,112.9,0.346,0.376,0.561,53.9,52.2,12.8,16.4,0.534,15,36.1,0.238
82,Duquesne,32,19,13,0.594,0.72,-0.44,10,8,14,4,4,6,2351,2314,1295,810,1895,0.427,271,841,0.322,460,663,0.694,379,1133,443,250,151,451,580,70.5,103,0.35,0.444,0.532,48.2,54.7,11,12.1,0.499,16.9,31.6,0.243
83,East Carolina,31,10,21,0.323,-5.63,1.18,3,15,8,9,1,11,2088,2299,1255,749,1791,0.418,155,545,0.284,435,638,0.682,317,1061,382,223,110,416,622,69.9,95.2,0.356,0.304,0.499,47.9,51,10.2,10,0.461,16.6,27.9,0.243
84,East Tennessee State,33,24,9,0.727,5.99,-1.5,13,5,13,2,8,6,2613,2269,1335,971,2001,0.485,261,725,0.36,410,617,0.665,430,1320,513,246,131,470,582,70,111.8,0.308,0.362,0.57,57.5,52.8,10.5,11.9,0.55,17,37.8,0.205
85,Eastern Illinois,32,14,18,0.438,-11.77,-4.96,7,11,7,6,5,10,2299,2457,1310,826,1912,0.432,272,735,0.37,375,545,0.688,347,1147,434,200,120,427,569,69,101.7,0.285,0.384,0.53,49.2,52.5,8.8,10.7,0.503,16.4,29.3,0.196
86,Eastern Kentucky,31,13,18,0.419,-7.33,-2.4,6,12,9,5,3,11,2562,2577,1265,902,2125,0.424,272,832,0.327,486,683,0.712,362,1167,458,317,101,447,661,79.9,101.3,0.321,0.392,0.523,47.5,50.8,12.5,8,0.488,15.4,27.7,0.229
87,Eastern Michigan,32,15,17,0.469,0.8,4.83,9,9,11,7,4,10,2203,2213,1295,818,1822,0.449,187,634,0.295,380,604,0.629,400,1155,369,237,142,442,530,66.5,102.3,0.332,0.348,0.522,51,45.1,11,13.5,0.5,17.3,35.6,0.209
88,Eastern Washington,34,16,18,0.471,-6.81,-4.21,12,8,9,4,4,13,2460,2527,1380,876,2040,0.429,310,886,0.35,398,546,0.729,299,1192,467,200,101,401,632,69.5,102.6,0.268,0.434,0.535,49.9,53.3,8.3,8.6,0.505,14.8,24.4,0.195
89,Elon,32,11,21,0.344,-11.12,-3.15,7,11,5,11,6,7,2266,2445,1290,812,1860,0.437,335,942,0.356,307,443,0.693,265,1080,468,135,59,413,539,69,101.9,0.238,0.506,0.547,48,57.6,6.1,5.1,0.527,16.6,23.6,0.165
90,Evansville,32,11,21,0.344,-3.7,0.26,5,13,9,7,2,13,2234,2317,1295,747,1776,0.421,264,776,0.34,476,660,0.721,215,1095,394,185,89,416,601,70.8,97.5,0.372,0.437,0.535,47.3,52.7,8.1,7.1,0.495,16.6,18.9,0.268
91,Fairfield,31,9,22,0.29,-10.11,-7.04,6,12,5,7,3,13,2072,2167,1240,761,1755,0.434,259,740,0.35,291,420,0.693,273,968,401,202,63,436,612,68.1,98.1,0.239,0.422,0.53,47.6,52.7,9.6,6,0.507,18.2,25.8,0.166
92,Fairleigh NCAA,34,21,13,0.618,-5.66,-8.04,12,6,13,4,7,9,2571,2428,1380,906,1889,0.48,263,651,0.404,496,680,0.729,315,1125,478,254,128,460,564,68.7,108.5,0.36,0.345,0.581,49.7,52.8,10.7,10.6,0.549,17.2,29.2,0.263
93,Florida A&M,31,12,19,0.387,-13.54,-8.06,9,7,6,3,6,14,1927,2057,1245,719,1640,0.438,180,489,0.368,309,503,0.614,288,991,355,226,111,499,580,67.1,92.3,0.307,0.298,0.513,47.9,49.4,10.8,10.7,0.493,21,27.9,0.188
94,Florida Atlantic,32,17,15,0.531,-1.02,-1.44,8,10,9,5,6,8,2256,2175,1295,788,1913,0.412,279,865,0.323,401,535,0.75,357,1266,407,178,93,473,562,70.4,99,0.28,0.452,0.521,52.6,51.6,7.8,8.4,0.485,17.9,30,0.21
95,Florida Gulf Coast,32,14,18,0.438,-4.94,-1.31,9,7,10,4,4,10,2280,2360,1280,809,1786,0.453,269,724,0.372,393,588,0.668,272,1064,449,216,133,479,514,71.1,100.2,0.329,0.405,0.552,48.3,55.5,9.5,11.6,0.528,18.8,25.6,0.22
96,Florida International,32,19,13,0.594,-3.76,-1.3,10,8,12,4,5,8,2643,2555,1280,933,2115,0.441,269,878,0.306,508,795,0.639,347,1150,468,339,146,448,621,80.7,102.3,0.376,0.415,0.53,45.5,50.2,13.1,11.5,0.505,15.2,26.2,0.24
